index;noi_dung_binh_luan;noi_dung_binh_luan_dung_chinh_ta
17606;cần pass lại kem dưỡng hadalao do sử dụng không hợp. ai lấy mình pass rẻ thôi ạ mình ở q9,tp hcm hoặc liên hệ 0971513150 ạ;Cần pass lại kem dưỡng da cao do sử dụng không hợp. Ai lấy mình pass
17617;serum thấm nhanh, có mùi nhè nhẹ, ko gây căng rát da khi sử dụng. hiệu quả làm mờ thâm từ từ, dùng khoảng 1 tháng sẽ thấy tác dụng mờ thâm của em nó, ko có hiệu quả dưỡng ẩm mấy và chất serum dùng mau hao;Serum thấm nhanh, có mùi nhè nhẹ, ko gây căng rát da
17621;bông tẩy trang mềm mịn, không gây đau da.;bông tẩy trang mềm mịn, không gây đau da.
17625;tẩy trang rất sạch;Tẩy trang rất sạch.
17627;senka sale vừa rẻ vừa có quà nữa;Senka sale vừa rẻ vừa có quà nữa.
17638;mình thấy cái tẩy tế bào chết toàn thân nó nhỏ xíu thui à, mà bình thường tui hay tự trộn đậu đỏ với sữa chua tắm vẫn mịn với mướt hơn nha. nói chung là xài cho biết thui;Mình thấy cái tẩy tế bào chết toàn thân nó nhỏ xíu thui à,
17642;sau bao lần sài tẩy trang thì thấy em này;Sau bao lần sài tẩy trang thì thấy em này.
17661;bản mới chất kem rất dễ tán, không nâng tone nên cuối ngày da hơi xỉn màu, kiềm dầu tốt.;bản mới chất kem rất dễ tán, không nâng tone nên cuối ngày da hơi x
17666;sản phẩm dùng rất tốt ,mình rất thích ,sản phẩm này;Sản phẩm dùng rất tốt , mình rất thích ,sản phẩm này
17675;mình da dầu mụn ẩn nhiều, trộm vía sài có 2 ngày, k tin là mụn ẩn xẹp mất hết trơn, da rướt rượt, mùi sản phẩm thiên nhiên, thoa lên the như bạc hà cở mấy phút hết, kiềm dầu đỉnh, da khô cân nhắc, em này thiết nghĩ nên sài ban đêm, ban ngày sài thì chống nắng vì trị mụn dễ bắt nắng, 100₫ chân ái, mong hãng đẩy mạnh dòng kem này và phổ biến cho nhìu bạn, mình sài toàn hãng cao cấp, thử qua hàng vn thì mới thấy k thua kém gì, mình đang dùng toner, son dưỡng và kem milaganics, sẽ ủng hộ dài dài ne;Mình da dầu, mụn ẩn nhiều, trộm vía sài có 2
17676;chưa sd nhưng mùi nhẹ khá ok, hy vọng ổn;Chưa sõi nhưng mùi nhẹ khá ok, hy vọng ổn.
17683;đã mua chai này rất nhiều lần rồi, nhìn thì như nước lã, nhưng công dụng tốt nha. da mụn nhiều với nhạy cảm dễ kích ứng xài để làm sạch sau srm rất rất tốt, xài lâu mặt ổn áp lắm ak.;đã mua chai này rất nhiều lần rồi, nhìn thì như nước lã,
17685;mặt nạ dùng thích mà giá rẻ nữa;Mặt nạ dùng thích mà giá rẻ nữa.
17690;cảm giác da mịn hơn rõ rệt luôn;Cảm giác da mịn hơn rõ rệt luôn.
17712;sản phẩm có mùi hắc mạnh, rất khó chịu. mùi gắt gần giống mùi dầu tẩy sạch, khi tẩy xong có độ nhớt như dầu. mùi bám rất lâu, phải rửa tay, mặt lại bằng xà bông thì mới hết mùi. nếu rửa bằng nước thì phải gần 5phút mới hết.;Sản phẩm có mùi hắc mạnh, rất khó chịu. mùi gắt gần
17714;giảm thâm thật sự nha, da rất mềm, da sáng hẳn luôn, do mình xài mới 2 tuần nên thấy kết quả của thâm, còn nám thì chắc đợi thêm thời gian;Giảm thâm thật sự nhanh, da rất mềm, da sáng hẳn luôn, do
17717;serum này lỏng hơn nic, có mùi chua nhẹ, mình dùng trộm vía thấy da sáng hơn, đều màu hơn, da căng mướt hơn, mình dùng buổi sáng trước bước chống nắng;Serum này lỏng hơn nic, có mùi chua nhẹ, mình dùng trộm vía thấy
17737;sử dụng không gây rát, không gây khô da, tuy nhiên với mascara maybeline thì không tẩy sạch được hết trong lần đầu tiên. mùi hương thoảng dễ chịu, chất lượng tốt nhất với giá.;sử dụng không gây rát, không gây khô da, tuy nhiên với mascara
17748;tối trước khi ngủ thì bôi một lớp mỏng lên da mặt, mình đã giảm bớt mụn hẳn sau tầm hơn một tuần. kiên trì dùng da khỏe lên hẳn, không bị tái mụn nữa.;tối trước khi ngủ thì bôi một lớp mỏng lên da mặt, mình đã giảm
17763;lớp finish cực kỳ đẹp mọi người ơi, mềm mịn kiềm dầu cực thích, giá rẻ. trước đây mình dùng nhiều loại lắm rồi từ mắc đến rẻ nhưng có lẽ đến em này mình sẽ dừng lại quá vì quá ưng;Lớp finish cực kỳ đẹp mọi người ơi, mềm mịn, kiềm dầu
17772;nói tặng bông tẩy trang mà mua mấy lần rồi ko lần nào tặng hết;Nói tặng bông tẩy trang mà mua mấy lần rồi, ko lần nào tặng hết.
17782;finish căng bóng nhìn đẹp lắm;finish căng bóng nhìn đẹp lắm.
17783;không thẩm thấu, cảm giác nhờn và dính nguyên 1 đêm như bôi keo lên mặt. buổi sáng bôi xong rồi thoa kem chống nắng nhìn bóng dầu ghê lắm. công dụng chưa rõ ra sao nhưng sẽ không mua lại lần 2.;không thẩm thấu, cảm giác nhờn và dính nguyên 1 đêm như
17785;chân ái cho da khô dù giá thành rẻ mình từng xài nhiều sp cho da khô nhưng đến em này đúng là chân ái mới mua thêm 3tuyp để dành xài sợ hết hàng;Chân ái cho da khô dù giá thành rẻ, mình từng xài nhiều
17787;giao hàng rất nhanh. hàng chính hãng, mà giá lại rẻ.;giao hàng rất nhanh. hàng chính hãng, mà giá lại rẻ.
17789;mình mua về xài mới được khoảng 10% nhưng da không hợp muốn pass lại 100k cho ai có nhu cầu ạ. sđt 0978307056;Mình mua về xài mới được khoảng 10% nhưng đã không hợp, muốn pass
17792;sản phẩm này còn đk tặng kèm cn nhỏ hk ạ;Sản phẩm này còn để tặng kèm con nhỏ H.K ạ.
17793;cảm nhận sau lần đầu sử dụng, em này có mùi bí đao đ/v mình k quá nồng k quá khó chịu mình cũng khá thích mùi này, hũ cầm nặng tay bao bì rất đẹp mỗi lần nhận hàng cocoon là mình luôn phải cảm thán là bao bì đẹp nên mình luôn giữ lại, chất kem gel dễ tán tan nhanh k để lại gì trên da, da nhạy cảm mình dùng k bị kích ứng, sẽ mua lại;Cảm nhận sau lần đầu sử dụng, em này có mùi bí đao, đ
17795;sp dưỡng ẩm tốt lắm, thoa không bị nặng mặt mà cứ thấy mướt mướt cực thích, trc tuy da khô nhưg cứ xài dưỡng ẩm là lên mụn, gặp e này dùng k bị lên mụn, đúng là chân ái của mình;SP dưỡng ẩm tốt lắm, thoa không bị nặng mặt mà cứ thấy
17797;chân ái của tui là ẻm. từ ngày quen ẻm là trộm vía k thấy lên mụn. dùng cả năm mới thấy hết 1 lọ. bôi kem cn lên tone;Chân ái của tui là ẻm. Từ ngày quen ẻm là
17811;hủ nặng tay và đầy như này ạ. mình dùng toner, serum dưỡng ẩm dạng gel đặc và sau đó dùng thêm em kem dưỡng senka này nữa nhưng vẫn không bị nhờn rích mà sẽ mềm mịn da lắm, nhờn rích chắc do da mb ở môi trường ẩm nóng í, nói chung mình ưng lắm. còm về công dụng trắng da như nào thì sài 1 tgian nếu có trắng và mờ thâm mình sẽ mua hủ t2 và đánh giá lại 5* hehe :3;Hủ nặng tay và đầy như này ạ. Mình dùng toner, serum dưỡng
17816;mình đã dùng e này 1 time rồi, rất ưng e này, thật sự, thật sự hài lòng với tiền mình mua, giảm bỏng mắt , còn thâm thì it ,kh biết do mình hay thức khuya kh nữa. nhưng bỏng mắt tan dần là mình mừng rùi;Mình đã dùng e này 1 time rồi, rất ưng e này, thật
17817;sữa chống nắng curél spf50+ pa+++ 60ml , hàng rất ok tốt, giá hợp lý;Sữa chống nắng Curél SPF50+ PA 60ml , hàng
17818;mua n lần rồi;Mua ăn lần rồi.
17822;buồn quá sử dụng bị ko hợp, mặt nổi mụn nước li ti lung tung, chắc mình ko hợp với ha ùi;Buồn quá sử dụng bị ko hợp, mặt nổi mụn nước li ti lung tung
17823;dùng thay như serum luôn nha mọi người. dưỡng ẩm đỉnh của đỉnh luôn. vì là dòng dược mỹ phẩm nên không thể cảm nhận ngay tức thì được mà phải theo thời gian, quá ok . vì thành phần bổ sung ceramide nên da được cải thiện rõ rệt khi kiên trì dùng chung với kem dưỡng. sẽ gắn bó đến khi già . hichic;Dùng thay như serum luôn nha mọi người. dưỡng ẩm đỉnh của đỉnh
17836;sản phẩm phục hồi tốt cho da mụn;Sản phẩm phục hồi tốt cho da mụn.
17848;sài dài thiệt á mấy bà, chưa đc nửa chai là thấy dài ra rồi ấy;Sài dài thiệt á mấy bà, chưa đến nửa chai là thấy dài
17859;lần đầu tiên dùng nhưng rất ưng kem nâng tông nhẹ, bôi thấm vào da rất nhanh ko bị vón cảm giác da mềm ko bị khô,hợp túi tiền từ giờ sẽ chỉ dùng em này thôi;Lần đầu tiên dùng nhưng rất ưng kem nâng tông nhẹ, bô
17862;mình xài kết hợp với những sản phẩm khác như hình sau 2 tuần thì thấy hiệu quả hẳn ra da sáng lên mờ thâm 85% hết mụn đầu đen 90% mịn da căng bóng hiệu ứng glass skin, giảm mụn ẩn và mụn trứng cá 80%;Mình xài kết hợp với những sản phẩm khác như hình, sau 2 tuần
17863;trị mụn viêm sưng,mụn bọc,mụn mủ nói chung chấm vô chổ đang sưng 2 ngày sau gom lại tự bong ra luôn.lần đầu tiên mình thấy có loại chấm mụn đỉnh thật,nhất là mụn đang sưng viêm đỏ phát huy thật sự.khuyên mọi ng nên thử ạ.sau 3 ngày chổ sưng viêm của mình liền da láng o mà vẫn còn thâm đỏ chút thôi.;trị mụn viêm sưng,mụn bọc,mụn mủ nói
17868;da hỗn hợp thiên dầu mua về phí tiền nha;Da hỗn hợp thiên dầu mua về phí tiền nha!.
17873;xài rất tốt sau 3 tuần nám mờ hẳn, mình xài ngày 2 lần sáng và tối sau khi rửa mặt sạch là chấm lên để nó tự khô thấm luôn, rất nhanh rất hiệu quả, đang mua thêm kem dưỡng đây;xài rất tốt, sau 3 tuần nám mờ hẳn, mình xài
17874;mình mới mua tuýp 60ml chỉ 327k rất rẻ, mình chưa dùng nên không đánh giá được sản phẩm, nhưng thấy anh shipper của hasaki cực kì dễ thương. lúc đưa hàng ảnh còn xịt thuốc vô bao hàng của mình nữa, không biết là các shipper của hasaki đều được cung cấp như vậy hay riêng mỗi anh shipper này tự chuẩn bị thôi, dù việc nhỏ nhưng vẫn tinh tế lắm ạ;Mình mới mua tuýp 60ml chỉ 327k rất rẻ, mình chưa
17888;da mình da dầu, mụn ẩn, mụn viêm, mụn nội tiết, mụn viêm dưới da không đầu. sau khi dùng thì thấy cải thiện mụn ẩn và vấn đề lcl to. còn mụn viêm và thâm thì không thấy cải thiện. nhìn thấy hiệu quả rõ sau 1 tuần sử dụng luôn, da bớt mụn hẳn;Da mình da dầu, mụn ẩn, mụn viêm, mụn nội tiết,
17897;tốt lắm;Tốt lắm.
17911;mình dùng 2 lọ thấy quá ngon, bôi xong sáng dậy da căng bóng, mịn màng, giảm thâm đáng kể;Mình dùng 2 lọ thấy quá ngon, bôi xong sáng dậy da căng bóng
17912;sản phẩm quá kém, dùng được một lần rồi bỏ.;sản phẩm quá kém, dùng được một lần rồi bỏ.
17916;đã dùng được hơn 1 tuần. chất serum rất nhanh thấm vào da, da có mịn màng hơn, lỗ chân lông có nhỏ hơn, về hiệu quả trị thâm và sẹo chắc phải đợi tgian;đã dùng được hơn 1 tuần. Chất serum rất nhanh thấm vào da, da
17932;chất lượng bình thường, sẽ cân nhắc trước khi mua lại sản phẩm này.;chất lượng bình thường, sẽ cân nhắc trước khi mua lại sản phẩm này.
17948;mình mua lần thứ 5 trên hasaki rồi, mình kiên trì xài nên thấy hiệu quả rõ rệt, da giảm mụn giảm thâm.;Mình mua lần thứ 5 trênki rồi, mình kiên trì xài nên
17952;tẩy sạch không khô da mình đánh giá năm sao cho chất lượng phục vụ ở hasaki về cách đào tạo nhân viên chuyên nghiệp và lịch sự tư vấn nhiệt tình giao hàng nhanh sp giá cả phải chăng và chất lượng tốt hasaki chưa bao giờ làm tôi thất vọng ❤;Tẩy sạch không khô da mình, đánh giá năm sao cho chất lượng phục
17959;da mặt khác liền trong lần đầu tiên. sau 2 tuần, mụn ẩn giảm đánh kể, da căng và mịn hơn trc rất nhiều. lần sau mua chai full cho đã;Da mặt khác liền trong lần đầu tiên. Sau 2 tuần, mụn ẩn
17961;da mụn xài ok;Da mụn xài ok.
17970;thật sự dòng kem này thì ko chê ở điểm gì trừ mức giá con nhà giàu. lớp finish ok, mùi hương vừa phải, đúng là sinh ra dành cho da dầu mùa hè kiềm dầu cứ phải gọi là đỉnh của chóp. giá hasaki quá ổn, gần như mua 1 tặng 1;Thật sự dòng kem này thì ko chê ở điểm gì, trừ mức giá...
17972;em này xài êm nhen nhưng do da mình yếu nên bị kích ứng. mới sử dụng có 2 lần nên em pass lại ạ. tinh chất dưỡng ẩm + niacinamide 15% giá yêu thương ( 2 em này giá 170k). ib em 0774188102. em cảm ơn cả nhà;Em này xài êm nên nhưng do da mình yếu nên bị kích ứng
17982;dùng chấm lên mụn thì sau 2 ngày mụn đã khôi cồi, có khi rửa mặt nó tự ra luôn chứ không cần phải nặn luôn, nặn xong chấm để bớt mụn luôn;Dùng chấm lên mụn thì sau 2 ngày mụn đã khôi cồi, có khi
17988;chất kem nhanh thấm k bí da , k nhờn rít , sáng dậy thấy da mịn và bật tone hẳn;Chất kem nhanh thấm, dễ bít da , khó nhờn rít
17995;đã dùng 4,5 chai rồi. giá rẻ, chất lượng tốt, hợp với da của mình lắm.;đã dùng 4,5 chai rồi. giá rẻ, chất lượng tốt, hợp với da
17998;cấp ẩm tốt, với giá thành này thì đã đảm bảo đc công dụng cấp ẩm rồi á, ngon bổ rẻ, nhưng mà vẫn nên dùng thêm kem dưỡng ẩm để khóa ẩm nha;cấp ẩm tốt, với giá thành này thì đã đảm bảo được công dụng
18003;kem dưỡng này khá tốt. hiệu quả cao;Kem dưỡng này khá tốt. hiệu quả cao.
18016;xài rất ok;xài rất ok.
18030;trị mụn cằm rất tốt. nên sử dụng kết hợp serum;trị mụn cằm rất tốt. Nên sử dụng kết hợp serum.
18031;mùi hơi hôi. như thuốc uốn tóc. nhưng 1 lát bay mùi sẽ hết. có trắng da. khô nhanh. ko vị nhờn rít. mình ít dùng mặt. mà chai to ko dùng khui lâu thì phí. mình bôi cái bụng. mà có trắng lên tone rõ nha. sẽ mua thêm;mùi hơi hôi. như thuốc uốn tóc. nhưng 1 lát bay mùi sẽ
18035;hiệu quả cấp ẩm rõ rệt. tinh chất dạng lỏng, thẩm thấu nhanh nên da khô thoáng mà vẫn mềm mịn;Hiệu quả cấp ẩm rõ rệt. Tinh chất dạng lỏng, thẩm th
18037;toner cấp ẩm tốt dùng đến 3 tháng mới hết chai, mình dùng thấy mụn giảm sưng viêm nhanh, không còn tình trạng đồ dầu trên da nữa. toner có mùi nên nếu bạn nào thích mùi sẽ mê, còn nếu ko ngại mùi thì có thể cân nhắc nha;toner cấp ẩm tốt dùng đến 3 tháng mới hết chai, mình dùng
18039;bịch to, nhiều bông. lần đầu mua cảm thấy hài lòng với chất bông dày dặn, ko bị xơ, giá rẻ;Bịch to, nhiều bông. Lần đầu mua cảm thấy hài lòng với
18051;độ ph khoảng 5.5 nên xài xong ko bị khô căng. chất gel lỏng, có hạt li ti màu xanh. xài 2 hôm thấy da dịu hẳn. vài hôm sau mụn ẩn bị đẩy lên (do có aha) nhưng mà đừng quá lo lắng nhe mn. nói chung đáng thử. 9/10;Độ pH khoảng 5.5 nên xài xong ko bị khô căng. Chất gel lỏng
18052;mùi hăng, dùng có cảm giác sưng mẩn đỏ nma da mịn hơn;Mùi hăng, dùng có cảm giác sưng mẩn đỏ, làm
18066;chả lột được mụn;Chả lột được mụn.
18070;srm này xài êm.sạch da.mình da nhạy cảm k kích ứng gì.trong lúc xài thấy có giảm mụn.và k có mụn,da mình ăn cay nóng thì mới bị nổi thôi nên bạn nào nhiều.nên trải nghiệm xem sao vì da tùy người hợp người k ý.sau khi mình đổi qua srm cosrx thì bị mụn nổi hai tháng chưa thấy hết,chắc do k hợp srm cosrx;SRM này xài êm.sạch da.mình da nhạy
18073;kem dạng gel phù hợp với da dầu mụn, có mùi trà thoang thoảng;Kem dạng gel phù hợp với da dầu mụn, có mùi trà thoang thoảng
18089;tẩy tế bào chết cho body và mặt ổn và thơm;Tẩy tế bào chết cho body và mặt ổn và thơm.
18114;loại da: dầu, nhạy cảm, mụn viêm mình đã thử tất cả các loại tẩy trang từ laroch posay, vichy, kieh... nhưng không hợp. cho đến khi được một bạn nhaan viên tư vấn bên hasaki giới thiệu em này. tẩy sạch mà không khô da, mùi dịu nhẹ. đã sử dụng đến chai thứ 5;Loại da: dầu, nhạy cảm, mụn viêm... Mình đã thử tất cả các
18124;dung đến 3 chai rồi cũng có cai thiên nên mua mua nhé mn;Dùng đến 3 chai rồi cũng có cái thiên, nên mua mua nhé em!
18128;dùng khá ok.;dùng khá ok.
18133;chai có đầu bum siêu tiện lợi .em thoa lên có cảm giác nóng ấm nhẹ ko khó chịu . sáng dậy cảm nhận dầu cg bớt đi nhiều trộm vía sài đc hơn 2 tuần cảm thấy da có bớt dầu + lct thu nhỏ lại ,các mụn viêm đều giảm;Chai có đầu bơm siêu tiện lợi .Em thoa lên có cảm giác
18138;phổ rộng da treatment xài quá êm đánh bay luôn con anessa giá hời mà dung tích ok hơn nữa nch là sd ok ạ theo kinh nghiệm của mìh thì nếu hoạt động ngoài trời liên tục thì 4tiếng thoa lại 1 lần nếu làm văn phòng thì khỏi thoa lại luôn ạ chống nước mình thấy ok ạ kiềm dầu tốt ạ nch là biết con này rồi là anessa chỉ còn là 1 cái tên;Phổ rộng, da treatment xài quá êm đánh bay luôn con an
18156;rất thoải mái khi đắp, cấp ẩm đủ, tốt cho trc makeup nha :3;Rất thoải mái khi đắp, cấp ẩm đủ, tốt cho tóc
18163;kem dưỡng tốt sáng da nên mua;Kem dưỡng tốt, sáng da nên mua.
18167;lúc mình cần dưỡng trắng thì bạn mình có review cho dòng này xài trắng với không bị bào da, thế là qua hasaki mua loại minisize dùng xong tậu luôn chai fullsize xài ưng tới giờ. da mình khó lên tông lắm mà dùng loại này xong lên tông hẳn hoi so với lúc trước đặc biệt da không bị bắt nắng kèm theo là da khỏe với căng bóng hơn nhiều;Lúc mình cần dưỡng trắng thì bạn mình có review cho dòng này xài trắng
18170;dạng sữa lỏng, mỏng nhẹ, thấm nhanh, k nhờn rít, kiềm đầu tốt , mình rất ưng;Dạng sữa lỏng, mỏng nhẹ, thấm nhanh, ít nhờn rít,
18202;rất oke, da mặt sạch nhưng vẫn ẩm, mềm ko bết dính, giá thành siu hợp lý;Rất ok, da mặt sạch nhưng vẫn ẩm, mềm, ko
18207;mới bôi lên thì nó hơi bết 1 chút xíu, ngủ dậy cảm giác mặt được cấp ẩm tốt nhen;Mới bôi lên thì nó hơi bết 1 chút xíu, ngủ dậy cảm
18210;đúng là tiền nào của ấy, cứu tinh của làn da mụn nhạy cảm của mình;Đúng là tiền nào của ấy, cứu tinh của làn da mụn nhạy cảm
18216;sd sữa rửa mặt xong da sạch cực kì;Sau sữa rửa mặt xong, da sạch cực kì.
18220;da mình dầu nhiều vùng chữ t xài con này vẫn đổ dầu chứ ko kiềm hẳn đâu, tầm 4 tiếng là bóng rồi. chất kem hơi dày nên bôi hơi nặng mặt lúc đầu từ từ tệp da mới đỡ. finish đẹp như cà filter ko nâng tone cũng ko xuống tone. hơi bết nếu đeo khẩu trang. tóm lại là 8/10 điểm => có thể mua lại;Da mình dầu nhiều vùng, chữ T xài con này vẫn đổ dầu chứ
18224;hồi đá da kích ứng đỏ dùng lên tý là đỡ ngay mà vòi dùng thích cực kỳ luôn;Hồi đá, da kích ứng đỏ, dùng lên tý là đỡ ngay mà
18229;sản phẩm chất xài thấm nhanh, kiềm dầu tốt, thu nhỏ lỗ chân lông ổn, lúc bôi có tạo bọt nhẹ;Sản phẩm chất xài thấm nhanh, kiềm dầu tốt, thu nhỏ lỗ
18236;mình rất ưng em này , vì em này lấy đi da chết thật chứ không phải tạo gôm giả . mình đã thử bằng cách dùng liên tục 2 lần trong 1 lần tẩy da chết , lần đầu tiên thì chất gôm ra rất nhiều nhưng sau đó rửa mặt sạch lại rồi dùng lần 2 thì chất gôm ra rất ít , hầu như không có . sau khi sử dụng rồi rửa mặt sạch lại vs srm thì cảm thấy da siêu sạch nhưng không phải sạch kin kít mà cảm giác nhẹ tênh , có độ đàn hồi , ẩm mịn và đặc biệt là sau đó bạn đắp mask thì như tất cả các tinh chất đc da hấp thụ sạch .;Mình rất ưng em này , vì em này lấy đi da chết thật
18237;mình sử dụng rất hài lòng sản phẩm này. sp tốt;Mình sử dụng rất hài lòng sản phẩm này. SP tốt.
18238;mình từng sd hết 1 chai tầm 2-3 năm trươc thì trộm vía rất hợp giúp mình hết mụn ẩn, sợi bã nhờn (da mình hhtd) nay mua lại thấy chai nhỏ hơn mình nhớ dù cũng cùng dung tích :)));Mình từng sd hết 1 chai tầm 2-3 năm trước thì trộm vía rất hợp
18244;nay sử dụng sao ạ;nay sử dụng sao ạ?
18252;êi đọc review thấy mn kêu có mùi, mà s mình xài thấy có mùi đâu ta, sp xài k bị khô da, sạch lắm nha;Êi đọc review thấy nó kêu có mùi, mà sao mình xài thấy
18278;ok lắm m.n rửa xong da rất mềm và mịn nha k bị khô căn sạch được dầu thừa giảm mụn đầu đen nữa nha.;ok lắm m.n rửa xong da rất mềm và mịn nha k bị khô căn
18279;sản phẩm rất tốt. giá cả hợp lý. kem thấm nhanh.;sản phẩm rất tốt. giá cả hợp lý. kem thấm nhanh.
18281;da mình dễ mụn, khi dùng srm này êm da, làm dịu vết mụn. mình thấy okiee.;da mình dễ mụn, khi dùng srm này êm da, làm dịu vết
18282;tuyệt vời. mỗi lần thức khuya da xấu hoắc, xài niacinamide với hyluaric acid qua 1 đêm da ẩm đẹp lại liềnn;Tuyệt vời. Mỗi lần thức khuya da xấu hoắc, x
18283;auto da khô, cần căng bóng là dùng em này chân ái luôn;Em da khô, cần căng bóng là dùng em này chân ái luôn.
18284;sài êm;Sài Gòn êm.
18288;mình mua hàng trên hasaki nhiều nhưng chưa bao giờ viết bình luận , lần này viết là vì sp này sài rất ok , mình mua cho mẹ sài không ôm nhiều hi vọng tại vì giá tầm trung mà thâm nám lâu năm rất khó trị , nhưng trộm vía mẹ mình phản hồi rất ok mấy cô hàng xóm khen nám mờ đi da trắng sáng hơn và nhờ mình mua hộ thêm cho họ , mình có mua cho mẹ chống nắng , tẩy trang , và đắp mặt nạ . rất khuyến khích mọi người sài thử >;Mình mua hàng trên nhiều nhưng chưa bao giờ viết bình luận , lần này
18290;mình dùng đến chai thứ 3 r thây làm xẹp gom cồi hiệu quả ý, mụn đầu trắng xẹp nhanh còn sưng viêm có đầu thì hơi lâu hơn, 3-4 ngày mới thấy gom lại ý, nchung ưng nha;Mình dùng đến chai thứ 3 thì thấy làm xẹp gom cồi
18312;chai này dùng để cấp ẩm thì khá ổn, chứ hỗ trợ trị mụn gì đó thì hiệu quả rất mờ nhạt và có thể nói là hoàn toàn không có hiệu quả :))))), với giá hơn 260k thì mình thấy vẫn còn nhiều so toner khác hợp lí hơn nha;Chai này dùng để cấp ẩm thì khá ổn, chứ hỗ trợ trị
18317;kem bí và ít thấm vào da như quảng cáo, thoa lên nặng mặt và có lớp nhờn, thạch nghệ thấm và thoáng hơn;Kem bí và ít thấm vào da như quảng cáo, thoa lên nặng mặt và
18342;kem đỉnh thật xoa vô là mát;Kem đỉnh thật xoa vô là mát.
18349;kem lỏng dễ trét hơn các loại kem khác, không mùi;Kem lỏng dễ trét hơn các loại kem khác, không mùi.
18355;mẫu bao bì mới hay sao, mình thấy khác đợt trước;Mẫu bao bì mới hay sao, mình thấy khác đợt trước.
18357;mình cần pass lại serum chưa sài dọt nào chưa bóc tem;Mình cần pass lại xem chưa sài dột nào, chưa bóc tem
18362;đánh giá sản phẩm này thì mình cảm thấy sử dụng cũng rất an toàn với làn da nhạy cảm như mình thì không có gì để bàn nữa những vết thâm khi do mụn để lại mình kiên trì sử dụng sao vài tuần thì cảm thấy những vết thâm ấy nọ biến mất cũng dần mờ hẳn ra gia đình bắt đầu trắng hơn mịn hơn và đều màu hơn xinh hẳn ra mà shop để tặng bông tẩy trang nhưng sau khi nhận hàng mở ra xem thì không có huhu nhưng mà thôi đánh giá trên shop năm sao ủng hộ;Đánh giá sản phẩm này thì mình cảm thấy sử dụng cũng rất an toàn, với
18387;độ ph cao khoảng 7. trong khi da cần từ 5-5.5. nhưng sản phẩm có một số chất khác bù lại phần nào và cần dùng ngay toner sau khi rửa mặt. đặc biệt bạn nào thích cảm giác tạo bọt của sửa rửa mặt có thể tham khảo❤;Độ pH cao khoảng 7. trong khi da cần từ 5-5.5. Nhưng sản phẩm có
18388;vô thưởng vô phạt lắm chỉ đơn giản là làm dịu, dưỡng ẩm bthg;Vô thưởng vô phạt lắm, chỉ đơn giản là làm dịu, dưỡng ẩm
18393;mình da dầu, xài em này kết hợp vs toner cùng hãng đẩy mụn rất hiệu quả. 3 ngày là mụn đẩy lên, đi lấy nhân mụn sau 3 thấy khác ngay. thơm mùi chanh, nhớ lắc đều trước khi sử dụng vì em có 2 lớp dầu + nước.;Mình da dầu, xài em này kết hợp vs toner cùng hãng đẩy mụn
18403;mình dùng hết 1 tuýt rồi, hiệu quả dưỡng ẩm thì oke. nhưng còn cải thiện quầng thâm mắt thì mình thấy không có tác dụng mấy. tùy vào chị em nào muốn hiệu quả sử dụng mà mua hen;Mình dùng hết 1 tuýp rồi, hiệu quả dưỡng ẩm thì ok
18414;dòng garnier giá cả mềm nhưng dùng rất ổn.;dòng garnier giá cả mềm nhưng dùng rất ổn.
18423;làm việc ngoài trời mà có em này xịt dặm lại quá khoẻ lunn, ko phải mất công bôi đi bôi lại kcn. nhỏ gọn xách đi cũng tiện;Làm việc ngoài trời mà có em này xịt dặm lại quá khoẻ luôn,
18439;mong hasaki bán thêm klenzit ms để mua cho tiện;Mongki bán thêm kilenzit ms để mua cho tiện.
18440;tẩy da chết cho body và mặt rất ổn ạ;Tẩy da chết cho body và mặt rất ổn ạ!
18442;mik thấy e này ok phục hồi da hơi bị đỉnh luôn á mik mua tại shop luôn;Mi thấy em này ok, phục hồi da hơi bị đỉnh luôn á, mik mua
18446;sản phẩm tốt, không mùi;Sản phẩm tốt, không mùi.
18450;chất kem đặc, có mùi như tinh dầu cam xả á. kiềm dầu khá ổn. dạ mình hơi ngăm nên là bôi lớp mỏng thôi chứ ko là nâng tone trắng bóc á. da mình dầu nhiều mụn và rất dễ nổi mụn sài e này thấy dễ chịu nè.;chất kem đặc, có mùi như tinh dầu cam xả á. kiềm dầu khá
18461;lần đầu tiên xài mua thử cái này , đúng là sau 2 tuần có kết quả tốt thật , ngừa mụn , mặt mịn lắm luôn , mùi ko nồng , nói chung ổn áp lắm , chai thứ 2 rồi , giới thiệu bạn xài bạn mặt bạn thay đổi rõ rệt thật;Lần đầu tiên xài, mua thử cái này , đúng là
18465;sản phẩm dùng siêu thích luôn, da mình dầu mụn mà dùng xong êm, sạch, ko nhờn rít, ko bị khô căng. mình đã mua đủ bộ về để sử dụng và cảm thấy rất hài lòng, cho 5 sao dùng hết sẽ ra mua tiếp.;sản phẩm dùng siêu thích luôn, da mình dầu mụn mà dùng xong êm,
18475;ấn tượng từ lần đầu tiên sử dụng omg;ấn tượng từ lần đầu tiên sử dụng.
18482;da mềm và sáng hơn;Da mềm và sáng hơn.
